Mixture,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.244070663,0,0,0,0.280619224,0,0.08407069,0.193059332,0,0.174447775,0,0,0.001331877,0.02240044
1,0.319206383,0,0,0.09168417,0,0,0.001957566,0.269856981,0.025802807,0.291492093,0,0,0,0
2,0.152308755,0.001145678,0.051450627,0.081318126,0.107143576,0.088871868,0.062685998,0.298205675,0.001408657,0.142774474,0,0,0.00582117,0.006865395
3,0.271939238,0,0,0.085117065,0.006921041,0,0.059074755,0.222490214,0.045982003,0.308475684,0,0,0,0
4,0.184325357,0,0.025022737,0.059553834,0.17437264,0,0.077956741,0.217875668,0.024698917,0.121764421,0,0,0.006203125,0.10822656
5,0.188738494,0,0.018638016,0.047020572,0.257395739,0,0.113095229,0.187465786,0,0.063226057,0,0,0.006508844,0.117911264
6,0.119065082,0.039988513,0.0896437,0.09089627,0.087207386,0.048476585,0.089316759,0.151165447,0.056578665,0.10445799,0,0.036513138,0.014629186,0.072061279
7,0.144572157,0.013329159,0.057653386,0.083252547,0.101033018,0.083304963,0.066231423,0.261721678,0.02244397,0.139028065,0,0,0.008373408,0.019056228
8,0.134893242,0,0,0,0.239598892,0,0.192903512,0.142145494,0,0.109497017,0,0,0.002026732,0.17893511
9,0.319605131,0,0,0.092063065,0,0,0.002278136,0.269788788,0.024593317,0.291671563,0,0,0,0
10,0.120769369,0.017439334,0.126920286,0.077624871,0.084026001,0.086989374,0.128403188,0.154826887,0.019376594,0,0,0,0.047212335,0.136411761
11,0.431782708,0,0,0,0,0,0.073414033,0.215117742,0.070584311,0.209101205,0,0,0,0
12,0.150239505,0.007649317,0.052231996,0.081019493,0.104409185,0.087822327,0.062052694,0.283439874,0.012192944,0.143021742,0,0,0.006774549,0.009146375
13,0.169493455,0,0.093007725,0.098095901,0.173656119,0,0.150559334,0.181376116,0,0,0,0,0.009323899,0.124487451
14,0.151914932,0,0.04901443,0.076781655,0.114488202,0.078429967,0.063219216,0.302703512,0,0.138575667,0,0,0.004841219,0.020031202
15,0.196046495,0,0,0,0.161030339,0,0,0.193121791,0.017906713,0.213719361,0,0,0.001242119,0.216933182
16,0.121689172,0.039412101,0.088098805,0.091363423,0.09077028,0.047930798,0.088188151,0.159385503,0.05472114,0.108286475,0,0.027654684,0.014608252,0.067891217
17,0.10699753,0.038570901,0.087953888,0.086337716,0.07118162,0.056285156,0.087737461,0.12686846,0.063149157,0.094082462,0,0.085068516,0.016479097,0.079288036
18,0.283087453,0,0,0.105243166,0,0,0.018620336,0.273968044,0.010902124,0.308178877,0,0,0,0
19,0.319272699,0,0,0.091747841,0,0,0.002310175,0.269854068,0.024386837,0.29242838,0,0,0,0
20,0.186432606,0,0,0.01429197,0.278068561,0,0.068508987,0.241802217,0,0.19666971,0,0,0.00103144,0.01319451
21,0.282819885,0,0,0.104966209,0,0,0.018392788,0.273899922,0.011649007,0.30827219,0,0,0,0
22,0.136834292,0,0.03182916,0.07315931,0.123468028,0.065162704,0.052173994,0.331015551,0,0.183776971,0,0,0.00257999,0
23,0.106961329,0.038562878,0.087908365,0.086314364,0.071171163,0.056267696,0.087696622,0.126851045,0.063148402,0.094087552,0,0.085113582,0.016682075,0.079234926
24,0.414466471,0.113413493,0,0,0.297255968,0,0.039259757,0.135604311,0,0,0,0,0,0
25,0.170961766,0,0,0.114646485,0.053849819,0,0.100613674,0.259328662,0.006113199,0.294486394,0,0,0,0
26,0.177401395,0,0.063838904,0.078385901,0.212400942,0,0.13307451,0.184127749,0,0.014327334,0,0,0.008473369,0.127969897
27,0.195272143,0.003010445,0,0.014437599,0.247000517,0,0.04876541,0.209897891,0,0.21715861,0,0,0.00251818,0.061939205
28,0.259829808,0,0,0.085245816,0,0,0.020441243,0.275803034,0.06079074,0.297889358,0,0,0,0
29,0.193012225,0,0,0,0.219907654,0,0.101361376,0.19848347,0.006988666,0.167290252,0,0,0,0.112956356
30,0.133739044,0.046855459,0.092363432,0.086659755,0.117117718,0.009793629,0.091381541,0.132845702,0.074183343,0.093730983,0,0,0.011177993,0.110151398
31,0.2536372,0,0,0.005272757,0.045954053,0,0.014792038,0.310334678,0.052873703,0.282711566,0,0,0,0.034424006
32,0.128673451,0.031905216,0.071144998,0.089239361,0.100451722,0.055025474,0.075394149,0.201019246,0.047469878,0.129370387,0,0.018564816,0.012190056,0.039551246
33,0.156194815,0.016999671,0.053845244,0.066847837,0.110865931,0.06585881,0.061806236,0.223244212,0.05111525,0.114146227,0,0,0.007751817,0.071323948
34,0.203680009,0,0.018032453,0.055370341,0.204155585,0,0.105555192,0.205075166,0,0.10926933,0,0,0.005871678,0.092990246
35,0.125158674,0.035829687,0.079998142,0.090400184,0.095555357,0.051287474,0.082082769,0.179575438,0.05120678,0.11850444,0,0.022943675,0.01320079,0.054256591
36,0.263729143,0,0,0.071983163,0,0,0.032382084,0.252054123,0.071786732,0.308064755,0,0,0,0
37,0.176932054,0,0.079299634,0.095442265,0.165704262,0,0.125755419,0.195022302,0.014643531,0.027142011,0,0,0.008497568,0.111560955
38,0.159573793,0.013222765,0.087921992,0.09114708,0.111588066,0.028825775,0.105332386,0.15791574,0.060785558,0.054684182,0,0,0.010450646,0.118552017
39,0.27634332,0,0,0.093993805,0.006568162,0,0.040063061,0.23936418,0.051675344,0.291992128,0,0,0,0
40,0.211713539,0.001216419,0,0.018554136,0.205725772,0,0.059603347,0.193868397,0,0.200260499,0,0,0.004158477,0.104899415
41,0.219345252,0,0,0,0.266441688,0,0.068948999,0.209312648,0,0.201601872,0,0,0.001338196,0.033011345
42,0.112798322,0.039255645,0.088761153,0.088534169,0.078889158,0.052536161,0.08849417,0.138553856,0.060006649,0.099088435,0,0.061789448,0.015486434,0.0758064
43,0.115596281,0.018768136,0,0,0.289876906,0,0.123832343,0.167739214,0,0.049760065,0,0,0.001656604,0.232770452
44,0.257739107,0,0,0,0.270868238,0,0.083381324,0.173656413,0,0.179768758,0,0,0.001330855,0.033255305
45,0.164370179,0.008660709,0.027792186,0.043483184,0.138540461,0.048066996,0.046138661,0.24893592,0.011442907,0.17084171,0,0,0.004781696,0.086945391
46,0.131870294,0.031645083,0.070230666,0.09008469,0.104720765,0.053851767,0.074772264,0.209551348,0.045468837,0.13326307,0,0.007170274,0.011565051,0.035805891
47,0.10695748,0.038561534,0.087905116,0.08631118,0.071168675,0.056265821,0.087693356,0.126847162,0.063146007,0.094084292,0,0.085109855,0.016717555,0.079231968
48,0.233152932,0,0,0,0.302853444,0,0.088981327,0.208249641,0,0.162414851,0,0,0.001098984,0.003248821
